# Submorpheme inventory (Phase 142). Curated from research/submorph/draft.tsv
# by research/submorph/curate.py; hand rows appended. Schema:
# fragment	position	class	canon_weight	associations	gloss
#
# Curation rule for meaning fragments (Phase 143, applied by hand): the
# fragment must carry its gloss to an English ear. "cel" earns excel, "tain"
# earns obtain — but "lot" never meant ocelot, "gon" never meant argon, and
# "per" means neither perky nor copper. About a hundred mined rows of that
# kind were removed, because the decode shown on the card would be a lie.
# The judgment is deliberately not a runtime rule: every mechanical version
# of it either kept "per" or threw out "cel", the family's own exemplar.
# Fragments that failed only as tails (breez, cer, fer, jaz, mer, smal) stay
# as heads, with their associations trimmed to the words they open.
dyn	H	meaning	0.00	dynamic:0.85,dynamo:0.75	dynamic
end	H	meaning	0.00	endless:0.75	endless
fac	H	meaning	0.00	factory:0.75	factory
fan	H	meaning	0.00	fancy:0.80	fancy
fea	H	meaning	0.00	featured:0.70	featured
fer	H	meaning	0.00	fervent:0.67	fervent
fin	H	meaning	0.00	final:0.75,finish:0.70,refine:0.60	finish · refine
flui	H	meaning	0.00	fluid:0.80	fluid
for	H	meaning	0.00	forces:0.75,forward:0.75	forces · forward
foun	H	meaning	0.00	foundation:0.59	foundation
foy	H	meaning	0.00	foyer:0.83	foyer
frac	H	meaning	0.00	fractal:0.79	fractal
fron	H	meaning	0.00	frontier:0.79	frontier
gar	H	meaning	0.00	garland:0.71	garland
gen	H	meaning	0.00	gentle:0.75	gentle
glea	H	meaning	0.00	gleaming:0.75	gleaming
glo	H	meaning	0.00	glossy:0.80	glossy
gra	H	meaning	0.00	granite:0.75,graphic:0.75	granite · graphic
grav	H	meaning	0.00	gravity:0.85	gravity
gres	T	meaning	0.00	egress:0.84,progress:0.63	egress · progress
gress	T	meaning	0.00	egress:0.84,progress:0.63	egress · progress
han	H	meaning	0.00	handy:0.80	handy
har	H	meaning	0.00	hardy:0.80,harmony:0.61	hardy · harmony
hum	H	meaning	0.00	humble:0.75	humble
jaun	H	meaning	0.00	jaunty:0.80	jaunty
jaz	H	meaning	0.00	jazz:1.00	jazz
joy	H	meaning	0.00	joyful:0.70	joyful
kar	H	meaning	0.00	karma:0.80	karma
kin	H	meaning	0.00	kindred:0.71	kindred
lex	B	meaning	0.00	lexicon:0.85,lexical:0.70	words · language
liber	H	meaning	0.00	liberty:0.80	freedom
ligh	H	meaning	0.00	lighthouse:0.57	lighthouse
lim	H	meaning	0.00	limber:0.80	limber
lith	T	meaning	0.00	monolith:0.65	monolith
loc	H	meaning	0.00	location:0.75,local:0.75	place
lof	H	meaning	0.00	lofty:0.80	lofty
loy	H	meaning	0.00	loyal:0.75	loyal
lum	H	meaning	0.00	luminous:0.80,lumen:0.80,illuminate:0.60	light
mag	H	meaning	0.00	magnet:0.85,magnify:0.70,magic:0.60,magpie:0.80	magnet · magnify
man	H	meaning	0.00	mantra:0.75	mantra
mar	H	meaning	0.00	marker:0.80,marble:0.75	marker · marble
mea	H	meaning	0.00	meaning:0.60	meaning
mem	B	meaning	0.00	memory:0.85,remember:0.65	memory
mer	H	meaning	0.00	merge:0.80,merit:0.65,merlin:0.70,meridian:0.64	merge · merit
mig	H	meaning	0.00	migrate:0.85	migrate
migh	H	meaning	0.00	mighty:0.75	mighty
mod	H	meaning	0.00	module:0.80,modern:0.70,mode:0.65	module · modern
moun	H	meaning	0.00	mountain:0.75	mountain
mul	H	meaning	0.00	multi:0.70,multiple:0.59	multi · multiple
nav	H	meaning	0.00	navigate:0.85,naval:0.60	navigate
nect	T	meaning	0.00	connect:0.77	connect
net	T	meaning	0.00	internet:0.65	internet
nex	T	meaning	0.00	nexus:0.85,next:0.70,connect:0.60	nexus · connect
nif	H	meaning	0.00	nifty:0.80	nifty
nim	H	meaning	0.00	nimble:0.75	nimble
nov	H	meaning	0.00	nova:0.85,novel:0.75,innovate:0.65	new · innovate
num	H	meaning	0.00	numbers:0.75,number:0.70	numbers · number
ora	H	meaning	0.00	oracle:0.80,orate:0.60	oracle
out	H	meaning	0.00	outline:0.70,outside:0.60	outline · outside
pan	H	meaning	0.00	panther:0.80	panther
pex	T	meaning	0.00	apex:0.84	apex
pla	H	meaning	0.00	plaza:0.80,planning:0.75,plastic:0.61	plaza · planning
plex	T	meaning	0.00	complex:0.65	complex
ploy	T	meaning	0.00	deploy:0.64	deploy
plu	H	meaning	0.00	plucky:0.80	plucky
por	H	meaning	0.00	portal:0.75,port:0.70,portico:0.71	portal
prai	H	meaning	0.00	prairie:0.80	prairie
pre	H	meaning	0.00	premier:0.75	premier
pri	H	meaning	0.00	pristine:0.71	pristine
pro	H	meaning	0.00	profit:0.75,provide:0.75,proposed:0.71,products:0.69,promenade:0.69,proposal:0.69	profit · provide
puls	B	meaning	0.00	pulse:1.00	pulse
pun	H	meaning	0.00	punchy:0.80	punchy
qual	T	meaning	0.00	equal:0.84	equal
quip	T	meaning	0.00	equip:0.84	equip
rea	H	meaning	0.00	really:0.75,reason:0.70,realize:0.67	really · reason
ref	H	meaning	0.00	refuge:0.75	refuge
resc	H	meaning	0.00	rescue:0.83	rescue
roy	H	meaning	0.00	royal:0.75	royal
sco	H	meaning	0.00	scoring:0.75	scoring
sec	H	meaning	0.00	secure:0.85,second:0.60	secure
sen	H	meaning	0.00	sensor:0.75,sense:0.75	sense
ser	H	meaning	0.00	serene:0.75	serene
sev	H	meaning	0.00	several:0.65	several
shel	H	meaning	0.00	shelter:0.80	shelter
sho	H	meaning	0.00	shopping:0.70	shopping
sie	H	meaning	0.00	sienna:0.70	sienna
sig	B	meaning	0.00	signal:0.85,signature:0.65,insignia:0.57	signal
sil	H	meaning	0.00	silver:0.80	silver
sim	H	meaning	0.00	simple:0.75	simple
smal	H	meaning	0.00	small:0.90	small
sna	H	meaning	0.00	snappy:0.80	snappy
sol	H	meaning	0.00	solar:0.80,solid:0.70,solution:0.60	sun · solid · solution
son	B	meaning	0.00	sonic:0.85,sound:0.75,sonnet:0.55,bison:0.74	sound
spect	T	meaning	0.00	inspect:0.80	inspect
spi	H	meaning	0.00	spirit:0.65	spirit
stat	H	meaning	0.00	static:0.80,state:0.75,statistic:0.60	state · static
ste	H	meaning	0.00	stellar:0.80	stellar
stel	H	meaning	0.00	stellar:0.85	stellar
stor	B	meaning	0.00	store:1.00	store
stra	H	meaning	0.00	strategy:0.75	strategy
struc	H	meaning	0.00	structure:0.86	structure
stu	H	meaning	0.00	study:0.70	study
sym	H	meaning	0.00	symbol:0.75	symbol
syn	H	meaning	0.00	sync:0.90,synthesis:0.70	sync · synthesis
tac	H	meaning	0.00	tactic:0.75	tactic
tain	T	meaning	0.00	obtain:0.74,ascertain:0.69,maintain:0.69	obtain · ascertain
tect	T	meaning	0.00	protect:0.63,architect:0.59	protect · architect
tem	H	meaning	0.00	tempo:0.75,template:0.65	tempo · template
tex	B	meaning	0.00	text:0.85,texture:0.70,vertex:0.77,textile:0.69	text · texture
thun	H	meaning	0.00	thunder:0.80	thunder
tre	H	meaning	0.00	trellis:0.75	trellis
trib	H	meaning	0.00	tribune:0.79	tribune
triev	T	meaning	0.00	retrieve:0.77	retrieve
tru	H	meaning	0.00	trusty:0.75	trusty
tude	T	meaning	0.00	altitude:0.55	altitude
val	B	meaning	0.00	value:0.80,valiant:0.71,evaluate:0.57	value · valiant
van	H	meaning	0.00	vantage:0.75	vantage
vel	B	meaning	0.00	velocity:0.85,level:0.55	velocity
ven	H	meaning	0.00	venture:0.80	venture
ver	B	meaning	0.00	verify:0.85,versatile:0.70,verse:0.65,river:0.69,over:0.67,veranda:0.67	verify · versatile
vide	T	meaning	0.00	provide:0.69	provide
vig	H	meaning	0.00	vigilant:0.80,vigor:0.70	vigilant · vigor
vin	H	meaning	0.00	vintage:0.75	vintage
vol	H	meaning	0.00	volume:0.75,evolve:0.60	volume · evolve
wil	B	meaning	0.00	will:0.90	will
won	H	meaning	0.00	wondrous:0.71	wondrous
zen	H	meaning	0.00	zen:0.85,zenith:0.75	calm · zenith
der	T	quality	0.70	-:0.0	canon suffix
el	T	quality	0.60	-:0.0	canon suffix
ent	T	quality	0.55	-:0.0	canon suffix
eo	T	quality	0.45	-:0.0	canon suffix
era	T	quality	0.60	-:0.0	canon suffix
ex	T	quality	0.60	-:0.0	canon suffix
ia	T	quality	0.70	-:0.0	canon suffix
ify	T	quality	1.00	-:0.0	canon suffix
io	T	quality	0.85	-:0.0	canon suffix
ist	T	quality	0.50	-:0.0	canon suffix
ix	T	quality	0.55	-:0.0	canon suffix
ly	T	quality	1.00	-:0.0	canon suffix
ma	T	quality	0.75	-:0.0	canon suffix
na	T	quality	0.90	-:0.0	canon suffix
on	T	quality	0.75	-:0.0	canon suffix
ora	T	quality	0.60	-:0.0	canon suffix
os	T	quality	0.55	-:0.0	canon suffix
ra	T	quality	1.00	-:0.0	canon suffix
ry	T	quality	0.75	-:0.0	canon suffix
ta	T	quality	0.90	-:0.0	canon suffix
ter	T	quality	0.70	-:0.0	canon suffix
tic	T	quality	0.60	-:0.0	canon suffix
to	T	quality	0.85	-:0.0	canon suffix
tor	T	quality	0.60	-:0.0	canon suffix
ty	T	quality	0.75	-:0.0	canon suffix
um	T	quality	0.60	-:0.0	canon suffix
us	T	quality	0.60	-:0.0	canon suffix
